niche,label,category,seed_count,seed_nonzero_count,qualified_keyword_count,nonzero_keyword_count,raw_qualified_sv,deduped_qualified_sv,deduped_commercial_sv,deduped_generic_commercial_sv,deduped_branded_commercial_sv,generic_commercial_cpc,max_generic_high_bid,avg_paid_competition_index,paid_serp_presence_share,native_intent_coverage,search_opportunity_score,research_quality_score,confidence,search_verdict
farm_insurance,Farm & ranch P&C insurance,Insurance,6,6,97,97,69800,67410,62810,62810,0,24.9,54.14,34.7,0.0244,1.0,76.3,100,A,GO
farm_equipment_financing,Farm equipment financing,Finance,6,6,100,100,21590,21560,20060,20060,0,10.19,33.06,46.1,0.0,1.0,71.3,100,A,TEST
farm_management_software,Farm management software,Technology,6,5,98,97,3930,3620,3220,3220,0,28.48,115.0,37.4,0.013,1.0,67.8,100,A,TEST
farm_real_estate_loans,Farm real estate / land loans,Finance,6,6,100,100,7570,6980,5020,5020,0,9.54,20.83,62.0,0.0455,1.0,64.6,100,A,TEST
farm_buildings,Farm buildings / machine storage,Infrastructure,7,6,189,188,255190,177900,84410,84410,0,1.77,14.8,43.5,0.0,1.0,62.6,100,A,TEST
farm_equipment,Farm equipment purchases,Equipment,6,6,242,242,343050,250140,249510,249510,0,1.5,14.95,48.6,0.0044,1.0,61.6,100,A,TEST
farm_accounting,Farm accounting / tax advisory,Professional services,6,4,21,19,1940,1940,1020,1020,0,52.63,67.21,27.3,0.0,1.0,61.0,100,A,TEST
farm_operating_loans,Farm operating / working-capital loans,Finance,7,7,22,22,2120,1400,1000,1000,0,25.9,59.46,52.5,0.0,1.0,59.9,100,A,TEST
farm_solar,Farm solar / renewable energy,Energy,6,3,21,18,3350,3210,3190,3190,0,10.32,15.24,39.9,0.0667,1.0,59.1,100,A,TEST
grain_storage,Grain storage / drying / handling,Infrastructure,8,8,220,220,53490,42380,40480,40480,0,1.75,15.42,25.4,0.0162,1.0,58.9,100,A,TEST
agricultural_legal,Agricultural legal services,Professional services,6,4,31,29,4550,3660,1300,1300,0,13.83,67.43,15.8,0.0,1.0,58.3,100,A,TEST
crop_insurance,Crop insurance,Insurance,6,6,73,73,23560,15470,5050,5050,0,5.14,10.88,6.4,0.0,1.0,55.6,100,A,TEST
irrigation,Agricultural irrigation / center pivots,Infrastructure,6,6,105,105,27460,15660,14050,14050,0,1.6,6.75,49.3,0.0,1.0,53.4,100,A,NO-GO
agronomy_consulting,Agronomy / crop consulting,Professional services,6,3,38,35,2450,2110,1470,1470,0,3.74,6.96,12.1,0.0,1.0,46.0,100,A,NO-GO
ag_drones,Agricultural drone spraying,Services,6,4,9,7,11280,11280,11280,11280,0,1.49,3.97,45.7,0.0,1.0,45.6,100,A,NO-GO
farm_auction,Farm auction services,Services,6,4,64,62,15440,13660,7890,7890,0,1.5,2.83,43.8,0.0217,1.0,44.4,100,A,NO-GO
farmland_brokerage,Farmland brokerage,Real estate,6,4,21,19,820,820,520,520,0,6.03,29.08,28.8,0.0,1.0,43.9,100,A,NO-GO
greenhouse_systems,Commercial greenhouse systems,Infrastructure,6,5,26,25,1020,900,560,560,0,2.89,9.92,76.9,0.0,1.0,43.0,100,A,NO-GO
dairy_robotics,Dairy robotics / milking automation,Equipment,6,5,81,80,4270,4050,3710,3710,0,1.52,2.98,16.4,0.0,1.0,39.2,100,A,NO-GO
livestock_feed,Livestock feed / animal nutrition,Inputs,6,2,6,2,760,760,760,760,0,2.13,4.84,11.0,0.0,1.0,36.3,65,C,NO-GO
precision_ag,Precision agriculture hardware / retrofit,Technology,7,6,16,15,2570,2570,760,760,0,1.35,4.82,66.1,0.1111,1.0,33.8,100,A,NO-GO
anaerobic_digesters,Farm anaerobic digesters / biogas,Energy,6,3,24,21,450,440,380,380,0,2.49,4.33,15.2,0.0,1.0,29.6,100,A,NO-GO
crop_inputs,Seed / fertilizer / crop inputs,Inputs,6,2,6,2,120,120,120,120,0,1.8,2.27,38.5,0.0,1.0,26.3,65,C,NO-GO
tile_drainage,Agricultural tile drainage,Infrastructure,6,4,14,12,750,750,600,600,0,0.57,9.14,5.2,0.0,1.0,25.5,100,A,NO-GO
grain_marketing,Grain marketing / hedging advisory,Professional services,6,1,6,1,10,10,10,10,0,3.99,0.0,27.0,0.0,1.0,23.4,65,C,NO-GO
livestock_infrastructure,Livestock housing / ventilation / manure systems,Infrastructure,6,5,9,8,90,90,80,80,0,1.78,2.91,41.6,0.0,1.0,22.6,100,A,NO-GO
succession_advisory,Farm succession / estate advisory,Professional services,6,5,22,21,740,740,110,110,0,0.19,5.69,17.2,0.0,1.0,17.4,100,A,NO-GO
farm_water_systems,Farm wells / agricultural water systems,Infrastructure,6,3,12,9,350,350,110,110,0,0.05,0.0,43.4,0.0,1.0,14.5,100,A,NO-GO
farm_succession_insurance,Farm succession / life-insurance planning,Insurance,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3.8,5,D,NO-GO
